0.000000000000000000e+00,6.999999999999999278e-03,0.000000000000000000e+00
1.500000000000000000e+00,1.730000000000000149e-01,2.899999999999999800e-02
2.000000000000000000e+00,2.300000000000000100e-01,1.730000000000000149e-01
2.500000000000000000e+00,2.439999999999999947e-01,2.089999999999999913e-01
3.000000000000000000e+00,2.300000000000000100e-01,2.590000000000000080e-01
3.500000000000000000e+00,3.310000000000000164e-01,2.949999999999999845e-01
4.000000000000000000e+00,3.160000000000000031e-01,3.379999999999999671e-01
5.000000000000000000e+00,2.089999999999999913e-01,4.529999999999999583e-01
6.000000000000000000e+00,1.009999999999999926e-01,5.320000000000000284e-01
7.000000000000000000e+00,4.299999999999999656e-02,5.820000000000000728e-01
9.500000000000000000e+00,6.999999999999999278e-03,5.749999999999999556e-01
1.200000000000000000e+01,6.999999999999999278e-03,6.109999999999999876e-01
